customer_type,year,month,bookings,stays,cancellations,total_nights_stayed,total_weekend_nights_stayed,total_week_nights_stayed,average_lead_time,average_booking_changes,no_deposit,non_refund,refundable,bb,hb,fb,no_meal,parking_required,special_requests,check_out,cancelled,no_show,adr,online,offline,groups_ms,direct_ms,corporate_ms,ta_to,direct_dc,corporate_dc,gds,repeated_guests,previous_cancellations,previous_bookings,city,resort,adults,children,babies,guests
Transient,2017,January,3034,1863,1171,9880,2574,7306,56.07053394858273,0.2083058668424522,2622,412,0,2459,184,3,388,247,2007,1863,1148,23,78.1311659919028,1806,209,284,433,276,2290,441,282,21,201,78,1174,2058,976,5422,308.0,23,5753.0
Transient,2016,January,1790,1328,462,4972,1308,3664,28.501117318435753,0.17150837988826817,1592,198,0,1527,112,4,147,194,848,1328,413,49,63.48875301689463,839,287,160,348,130,1258,403,129,0,134,393,488,971,819,3019,79.0,22,3120.0
Contract,2017,July,87,75,12,740,212,528,176.71264367816093,0.034482758620689655,87,0,0,52,32,0,3,0,38,75,11,1,128.34249999999994,0,87,0,0,0,87,0,0,0,3,0,3,2,85,178,3.0,1,182.0
Group,2016,July,2,1,1,10,2,8,47.0,0.0,2,0,0,2,0,0,0,0,2,1,1,0,145.6,1,0,0,1,0,1,1,0,0,0,0,0,0,2,4,1.0,0,5.0
Group,2016,September,11,9,2,25,7,18,86.0,0.09090909090909091,11,0,0,8,2,0,1,0,6,9,2,0,94.5084,2,3,1,3,2,7,2,2,0,1,0,3,7,4,17,0.0,0,17.0
Transient-Party,2015,July,937,416,521,2544,854,1690,165.2540021344717,0.10672358591248667,772,165,0,660,259,18,0,16,168,416,521,0,77.1536399371071,78,179,664,16,0,907,30,0,0,100,394,0,853,84,1793,6.0,3,1802.0
Group,2016,August,11,10,1,37,10,27,49.36363636363637,0.18181818181818182,11,0,0,10,1,0,0,2,8,10,1,0,187.7091891891892,3,1,0,7,0,5,6,0,0,0,1,2,6,5,22,3.0,0,25.0
Group,2015,September,44,31,13,140,43,97,83.70454545454545,0.045454545454545456,44,0,0,39,2,0,3,3,26,31,11,2,68.09864285714285,20,10,0,11,3,30,12,2,0,2,1,0,27,17,313,3.0,2,318.0
Transient-Party,2016,June,1171,940,231,2955,619,2336,148.4210076857387,0.28095644748078563,1169,2,0,882,276,0,13,20,518,940,229,2,97.94101522842648,133,803,170,32,33,880,67,224,0,6,5,37,1053,118,2012,33.0,3,2048.0
Group,2015,October,63,49,14,230,65,165,65.3015873015873,0.1111111111111111,63,0,0,58,4,0,1,1,24,49,14,0,67.66565217391306,15,30,1,14,3,45,15,3,0,2,2,1,51,12,249,1.0,1,251.0
Contract,2016,November,4,3,1,31,10,21,159.5,0.25,4,0,0,2,2,0,0,0,1,3,1,0,61.56258064516129,1,3,0,0,0,4,0,0,0,0,1,0,1,3,7,0.0,0,7.0
Transient-Party,2017,March,953,792,161,4885,1323,3562,102.77649527806925,0.4459601259181532,953,0,0,718,192,0,43,56,331,792,153,8,60.874607983623356,60,70,692,69,62,717,85,151,0,21,2,51,403,550,1560,6.0,0,1566.0
Group,2016,February,20,20,0,64,20,44,28.7,0.2,20,0,0,19,1,0,0,2,15,20,0,0,53.381874999999994,11,8,0,1,0,19,1,0,0,9,0,15,6,14,31,2.0,0,33.0
Group,2017,February,29,27,2,53,10,43,9.137931034482758,0.13793103448275862,29,0,0,23,1,0,5,3,21,27,2,0,63.829811320754715,10,12,1,5,1,22,4,3,0,22,0,41,11,18,48,4.0,0,52.0
Group,2016,March,13,13,0,46,11,35,97.46153846153847,0.07692307692307693,13,0,0,11,1,0,1,0,8,13,0,0,68.81130434782608,3,5,0,5,0,9,4,0,0,4,0,3,8,5,22,1.0,0,23.0
Transient-Party,2016,January,426,342,84,1024,237,787,47.73474178403756,0.5774647887323944,426,0,0,336,74,0,16,12,118,342,83,1,75.309306640625,87,203,45,19,62,317,27,82,0,21,41,58,373,53,617,32.0,0,649.0
